"Region;""Schadstoff"";""Einheit"";""NFR_Code"";""NFR_Sektor"";""Quelle"";""Datenstand"";""Jahr"";""Werte""",,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2009"";1",046,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2010"";1",05,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2011"";0",9,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2012"";0",934,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2013"";0",922,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2014"";1",024,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2015"";1",056,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2016"";0",99,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2017"";0",993,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2018"";1",082,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2019"";1",048,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2020"";1",011,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2021"";1",09,,
"AT;""NOX"";""kt"";""1 A 1 b"";""Petroleum refining"";""OLI 2023 (1990-2022)"";""15.02.2023"";""2022"";1",002,,
